iter	Passed	Remaining
131	3008	19780
132	3027	19732
133	3045	19683
134	3065	19640
135	3084	19594
136	3104	19553
137	3123	19509
138	3148	19505
139	3168	19464
140	3188	19426
141	3200	19341
142	3221	19305
143	3240	19265
144	3260	19227
145	3280	19190
146	3301	19157
147	3322	19124
148	3342	19088
149	3362	19052
150	3381	19014
151	3401	18977
152	3421	18938
153	3451	18958
154	3471	18926
155	3492	18895
156	3511	18856
157	3530	18815
158	3551	18782
159	3571	18752
160	3591	18717
161	3612	18684
162	3633	18657
163	3653	18623
164	3673	18589
165	3693	18556
166	3710	18507
167	3733	18490
168	3753	18458
169	3774	18426
170	3794	18396
171	3814	18361
172	3834	18330
173	3855	18301
174	3875	18268
175	3895	18239
176	3915	18205
177	3937	18183
178	3957	18153
179	3978	18125
180	3998	18093
181	4017	18057
182	4037	18026
183	4057	17996
184	4077	17964
185	4098	17936
186	4118	17904
187	4139	17878
188	4159	17848
189	4178	17815
190	4198	17783
191	4217	17749
192	4236	17714
193	4255	17679
194	4274	17644
195	4294	17615
196	4312	17580
197	4331	17546
198	4351	17515
199	4370	17483
200	4389	17447
201	4407	17413
202	4429	17389
203	4449	17360
204	4470	17336
205	4489	17303
206	4512	17286
207	4531	17256
208	4552	17231
209	4564	17170
210	4584	17141
211	4602	17106
212	4623	17081
213	4641	17048
214	4659	17014
215	4678	16980
216	4696	16947
217	4714	16912
218	4734	16882
219	4752	16850
220	4772	16822
221	4793	16800
222	4828	16823
223	4848	16795
224	4867	16765
225	4886	16734
226	4923	16767
227	4945	16744
228	4965	16717
229	4986	16692
230	5008	16672
231	5029	16648
232	5047	16617
233	5068	16590
234	5092	16576
235	5112	16549
236	5132	16524
237	5153	16501
238	5174	16474
239	5194	16448
240	5213	16420
241	5234	16397
242	5255	16373
243	5276	16348
244	5288	16298
245	5309	16272
246	5330	16250
247	5338	16187
248	5358	16161
249	5378	16135
250	5398	16108
251	5418	16082
252	5437	16054
253	5456	16026
254	5479	16008
255	5499	15983
256	5519	15958
257	5539	15931
258	5565	15921
259	5586	15899
260	5619	15910
261	5640	15887
262	5660	15861
263	5680	15835
264	5700	15810
265	5723	15792
266	5735	15744
267	5755	15721
268	5776	15697
269	5797	15675
270	5817	15650
271	5838	15626
272	5858	15601
273	5878	15574
274	5898	15549
275	5915	15518
276	5935	15491
277	5954	15464
278	5974	15439
279	5993	15412
280	6011	15382
281	6029	15351
282	6048	15325
283	6067	15298
284	6085	15268
285	6104	15240
286	6124	15214
287	6143	15187
288	6163	15162
289	6183	15138
290	6203	15113
291	6221	15085
292	6241	15060
293	6259	15031
294	6279	15006
295	6299	14982
296	6318	14955
297	6337	14928
298	6353	14895
299	6370	14864
300	6388	14835
301	6407	14810
302	6434	14800
303	6453	14775
304	6472	14748
305	6491	14723
306	6510	14697
307	6529	14670
308	6549	14645
309	6567	14618
310	6586	14592
311	6605	14565
312	6616	14521
313	6647	14521
314	6666	14495
315	6685	14470
316	6704	14444
317	6722	14418
318	6742	14394
319	6770	14387
320	6790	14364
321	6811	14341
322	6829	14315
323	6849	14291
324	6869	14268
325	6889	14243
326	6908	14218
327	6927	14192
328	6948	14171
329	6967	14145
330	6988	14123
331	7007	14100
332	7027	14075
333	7048	14054
334	7068	14031
335	7088	14008
336	7109	13987
337	7128	13961
338	7147	13936
339	7168	13914
340	7186	13889
341	7206	13864
342	7214	13818
343	7239	13805
344	7259	13783
345	7278	13757
346	7297	13732
347	7317	13709
348	7338	13688
349	7358	13665
350	7377	13641
351	7396	13616
352	7417	13594
353	7438	13574
354	7458	13550
355	7492	13553
356	7511	13529
357	7531	13506
358	7552	13484
359	7572	13462
360	7592	13439
361	7612	13416
362	7632	13392
363	7651	13369
364	7671	13345
365	7691	13323
366	7711	13299
367	7732	13278
368	7751	13254
369	7771	13232
370	7794	13215
371	7814	13192
372	7833	13168
373	7851	13141
374	7871	13118
375	7890	13094
376	7908	13069
377	7928	13045
378	7947	13022
379	7967	12999
380	7986	12975
381	8005	12951
382	8024	12927
383	8044	12905
384	8062	12879
385	8083	12857
386	8100	12831
387	8120	12808
388	8138	12783
389	8158	12760
390	8178	12738
391	8198	12715
392	8217	12692
393	8225	12651
394	8244	12627
395	8263	12603
396	8289	12590
397	8316	12579
398	8336	12556
399	8347	12520
400	8366	12498
401	8385	12473
402	8405	12451
403	8425	12430
404	8440	12400
405	8458	12375
406	8479	12354
407	8498	12331
408	8519	12310
409	8539	12287
410	8557	12264
411	8576	12240
412	8600	12223
413	8618	12198
414	8637	12175
415	8657	12154
416	8677	12131
417	8695	12107
418	8714	12084
419	8734	12062
420	8753	12038
421	8774	12018
422	8794	11996
423	8814	11974
424	8832	11950
425	8851	11927
426	8870	11903
427	8889	11880
428	8909	11858
429	8927	11833
430	8948	11813
431	8968	11792
432	8990	11772
433	9009	11750
434	9029	11728
435	9049	11705
436	9068	11683
437	9088	11660
438	9106	11637
439	9126	11615
440	9145	11592
441	9183	11593
442	9205	11574
443	9225	11552
444	9245	11531
445	9264	11508
446	9283	11485
447	9302	11461
448	9321	11439
449	9341	11417
450	9361	11395
451	9381	11374
452	9402	11353
453	9421	11330
454	9440	11308
455	9460	11286
456	9482	11267
457	9503	11246
458	9523	11224
459	9543	11203
460	9563	11181
461	9582	11158
462	9602	11136
463	9622	11115
464	9643	11095
465	9662	11071
466	9681	11049
467	9700	11026
468	9720	11004
469	9739	10983
470	9759	10961
471	9780	10940
472	9799	10917
473	9818	10895
474	9837	10873
475	9855	10849
476	9874	10826
477	9892	10802
478	9910	10779
479	9929	10757
480	9949	10735
481	9970	10714
482	9990	10693
483	10031	10694
484	10052	10673
485	10071	10651
486	10091	10630
487	10113	10610
488	10131	10587
489	10149	10564
490	10169	10542
491	10187	10519
492	10207	10497
493	10225	10474
494	10244	10450
495	10263	10429
496	10283	10407
497	10301	10384
498	10320	10362
499	10339	10339
500	10358	10317
501	10379	10296
502	10398	10274
503	10419	10253
504	10438	10231
505	10458	10210
506	10479	10190
507	10499	10169
508	10523	10151
509	10543	10130
510	10562	10108
511	10580	10084
512	10599	10062
513	10619	10041
514	10639	10019
515	10659	9998
516	10677	9975
517	10696	9953
518	10719	9935
519	10742	9916
520	10761	9894
521	10783	9874
522	10805	9854
523	10825	9833
524	10844	9811
525	10864	9790
526	10883	9768
527	10902	9746
528	10923	9725
529	10942	9703
530	10963	9683
531	10984	9663
532	11004	9642
533	11024	9620
534	11043	9598
535	11063	9577
536	11082	9555
537	11105	9536
538	11141	9529
539	11166	9512
540	11188	9492
541	11208	9471
542	11228	9450
543	11250	9430
544	11270	9409
545	11290	9387
546	11314	9370
547	11334	9348
548	11354	9327
549	11374	9306
550	11395	9285
551	11414	9263
552	11436	9243
553	11456	9222
554	11476	9201
555	11496	9180
556	11516	9159
557	11536	9137
558	11555	9116
559	11574	9094
560	11595	9073
561	11615	9052
562	11637	9032
563	11657	9011
564	11676	8989
565	11696	8968
566	11715	8946
567	11734	8925
568	11753	8903
569	11774	8882
570	11794	8861
571	11812	8838
572	11832	8817
573	11851	8795
574	11875	8777
575	11895	8756
576	11913	8734
577	11934	8713
578	11955	8693
579	11976	8672
580	11996	8651
581	12015	8629
582	12034	8607
583	12053	8586
584	12072	8564
585	12091	8542
586	12112	8521
587	12131	8500
588	12150	8478
589	12170	8457
590	12191	8437
591	12210	8415
592	12229	8393
593	12251	8373
594	12271	8352
595	12290	8331
596	12309	8309
597	12327	8286
598	12345	8264
599	12364	8242
600	12383	8221
601	12403	8200
602	12424	8180
603	12444	8159
604	12464	8138
605	12483	8116
606	12503	8095
607	12525	8075
608	12558	8063
609	12577	8041
610	12597	8020
611	12616	7998
612	12636	7977
613	12658	7958
614	12678	7937
615	12698	7916
616	12718	7894
617	12737	7873
618	12756	7851
619	12776	7830
620	12795	7809
621	12815	7788
622	12833	7766
623	12852	7744
624	12871	7722
625	12889	7700
626	12908	7679
627	12926	7657
628	12947	7636
629	12969	7616
630	12989	7596
631	13010	7575
632	13033	7556
633	13052	7535
634	13071	7513
635	13091	7492
636	13112	7472
637	13132	7451
638	13152	7430
639	13172	7409
640	13192	7388
641	13212	7367
642	13237	7349
643	13258	7329
644	13278	7308
645	13297	7286
646	13317	7265
647	13337	7244
648	13357	7223
649	13376	7202
650	13395	7181
651	13415	7160
652	13436	7139
653	13457	7119
654	13476	7098
655	13496	7077
656	13515	7055
657	13534	7034
658	13554	7013
659	13573	6992
660	13593	6971
661	13611	6949
662	13630	6928
663	13649	6906
664	13667	6885
665	13688	6864
666	13708	6843
667	13729	6823
668	13748	6802
669	13767	6781
670	13786	6759
671	13805	6738
672	13824	6717
673	13843	6695
674	13862	6674
675	13880	6652
676	13899	6631
677	13917	6609
678	13937	6588
679	13957	6568
680	13978	6547
681	13996	6526
682	14018	6506
683	14039	6485
684	14058	6464
685	14077	6443
686	14097	6422
687	14116	6401
688	14134	6380
689	14154	6359
690	14172	6337
691	14191	6316
692	14210	6295
693	14229	6274
694	14249	6253
695	14270	6232
696	14289	6211
697	14307	6190
698	14325	6168
699	14344	6147
700	14362	6126
701	14382	6105
702	14402	6084
703	14422	6064
704	14442	6043
705	14462	6022
706	14481	6001
707	14502	5981
708	14522	5960
709	14539	5938
710	14559	5918
711	14577	5896
712	14596	5875
713	14615	5854
714	14635	5833
715	14654	5812
716	14673	5791
717	14692	5770
718	14712	5749
719	14730	5728
720	14751	5708
721	14770	5687
722	14791	5667
723	14811	5646
724	14830	5625
725	14850	5604
726	14869	5583
727	14887	5562
728	14906	5541
729	14925	5520
730	14945	5499
731	14966	5479
732	14986	5458
733	15006	5438
734	15027	5417
735	15046	5397
736	15066	5376
737	15087	5356
738	15119	5339
739	15138	5318
740	15159	5298
741	15180	5278
742	15201	5258
743	15221	5237
744	15242	5217
745	15261	5196
746	15286	5177
747	15307	5156
748	15326	5136
749	15346	5115
750	15372	5096
751	15393	5076
752	15413	5056
753	15432	5035
754	15454	5014
755	15472	4993
756	15491	4972
757	15512	4952
758	15531	4931
759	15550	4910
760	15569	4889
761	15589	4869
762	15609	4848
763	15627	4827
764	15646	4806
765	15667	4786
766	15687	4765
767	15707	4744
768	15725	4723
769	15748	4703
770	15767	4683
771	15781	4660
772	15800	4639
773	15836	4624
774	15856	4603
775	15877	4583
776	15897	4562
777	15917	4542
778	15940	4522
779	15959	4501
780	15979	4480
781	15999	4460
782	16018	4439
783	16037	4418
784	16056	4397
785	16076	4377
786	16095	4356
787	16113	4335
788	16147	4318
789	16167	4297
790	16185	4276
791	16204	4255
792	16223	4234
793	16241	4213
794	16261	4193
795	16280	4172
796	16301	4151
797	16320	4131
798	16341	4110
799	16360	4090
800	16380	4069
801	16401	4049
802	16421	4028
803	16442	4008
804	16466	3988
805	16486	3968
806	16506	3947
807	16527	3927
808	16545	3906
809	16565	3885
810	16584	3864
811	16603	3844
812	16621	3823
813	16641	3802
814	16660	3781
815	16678	3760
816	16697	3739
817	16715	3718
818	16738	3699
819	16758	3678
820	16778	3658
821	16796	3637
822	16816	3616
823	16836	3596
824	16855	3575
825	16874	3554
826	16894	3534
827	16913	3513
828	16933	3492
829	16953	3472
830	16974	3452
831	16994	3431
832	17012	3410
833	17032	3390
834	17051	3369
835	17070	3348
836	17090	3328
837	17109	3307
838	17129	3287
839	17149	3266
840	17169	3246
841	17189	3225
842	17210	3205
843	17230	3184
844	17251	3164
845	17270	3143
846	17289	3123
847	17314	3103
848	17333	3082
849	17353	3062
850	17372	3041
851	17390	3020
852	17409	3000
853	17428	2979
854	17447	2958
855	17466	2938
856	17486	2917
857	17505	2897
858	17523	2876
859	17543	2855
860	17564	2835
861	17584	2815
862	17604	2794
863	17624	2774
864	17642	2753
865	17660	2732
866	17679	2712
867	17700	2691
868	17720	2671
869	17740	2650
870	17759	2630
871	17778	2609
872	17800	2589
873	17819	2568
874	17838	2548
875	17857	2527
876	17878	2507
877	17896	2486
878	17914	2466
879	17934	2445
880	17952	2424
881	17971	2404
882	17991	2383
883	18010	2363
884	18029	2342
885	18047	2322
886	18065	2301
887	18088	2281
888	18107	2260
889	18125	2240
890	18146	2219
891	18165	2199
892	18184	2178
893	18203	2158
894	18223	2137
895	18243	2117
896	18262	2096
897	18280	2076
898	18299	2055
899	18318	2035
900	18335	2014
901	18354	1994
902	18375	1973
903	18395	1953
904	18416	1933
905	18436	1912
906	18457	1892
907	18476	1872
908	18498	1851
909	18519	1831
910	18538	1811
911	18557	1790
912	18577	1770
913	18597	1749
914	18616	1729
915	18635	1708
916	18660	1688
917	18681	1668
918	18703	1648
919	18722	1628
920	18743	1607
921	18762	1587
922	18780	1566
923	18800	1546
924	18819	1525
925	18837	1505
926	18857	1484
927	18876	1464
928	18897	1444
929	18918	1423
930	18938	1403
931	18957	1383
932	18977	1362
933	18998	1342
934	19018	1322
935	19037	1301
936	19056	1281
937	19095	1262
938	19115	1241
939	19135	1221
940	19153	1200
941	19173	1180
942	19195	1160
943	19216	1139
944	19236	1119
945	19256	1099
946	19277	1078
947	19297	1058
948	19318	1038
949	19338	1017
950	19358	997
951	19379	977
952	19398	956
953	19418	936
954	19442	916
955	19463	895
956	19483	875
957	19503	855
958	19524	834
959	19544	814
960	19564	793
961	19584	773
962	19605	753
963	19624	732
964	19645	712
965	19665	692
966	19684	671
967	19697	651
968	19714	630
969	19735	610
970	19755	590
971	19774	569
972	19792	549
973	19813	528
974	19831	508
975	19849	488
976	19868	467
977	19888	447
978	19906	426
979	19926	406
980	19945	386
981	19965	365
982	19985	345
983	20003	325
984	20024	304
985	20043	284
986	20062	264
987	20082	243
988	20100	223
989	20119	203
990	20139	182
991	20158	162
992	20177	142
993	20212	122
994	20243	101
995	20267	81
996	20288	61
997	20309	40
998	20327	20
999	20346	0
